taxid,name,rank,lineage_name,lineage_id
34567,Moroteuthis sp.,species,Teuthida//Oegopsina//Onychoteuthidae//Moroteuthis//Moroteuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//34566//34567
34569,Sepioteuthis,genus,Teuthida//Myopsina//Loliginidae//Sepioteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//34569
34570,Sepioteuthis lessoniana,species,Teuthida//Myopsina//Loliginidae//Sepioteuthis//Sepioteuthis lessoniana,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//34569//34570
51370,Moroteuthis ingens,species,Teuthida//Oegopsina//Onychoteuthidae//Moroteuthis//Moroteuthis ingens,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//34566//51370
51371,Todarodes filippovae,species,Teuthida//Oegopsina//Ommastrephidae//Todarodes//Todarodes filippovae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6636//51371
54069,Alloteuthis subulata,species,Teuthida//Myopsina//Loliginidae//Alloteuthis//Alloteuthis subulata,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//552058//54069
55283,Loligo reynaudii,species,Teuthida//Myopsina//Loliginidae//Loligo//Loligo reynaudii,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//6616//55283
55284,Hyaloteuthis,genus,Teuthida//Oegopsina//Ommastrephidae//Hyaloteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//55284
55285,Hyaloteuthis pelagica,species,Teuthida//Oegopsina//Ommastrephidae//Hyaloteuthis//Hyaloteuthis pelagica,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//55284//55285
55716,Loligo sp.,species,Teuthida//Myopsina//Loliginidae//Loligo//unclassified Loligo//Loligo sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//6616//184220//55716
55717,Loliolus,genus,Teuthida//Myopsina//Loliginidae//Loliolus,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//55717
55718,Loliolus uyii,species,Teuthida//Myopsina//Loliginidae//Loliolus//Loliolus uyii,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//55717//55718
55719,Uroteuthis,genus,Teuthida//Myopsina//Loliginidae//Uroteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//55719
55720,Uroteuthis edulis,species,Teuthida//Myopsina//Loliginidae//Uroteuthis//Uroteuthis edulis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//55719//55720
61257,Todarodes sp.,species,Teuthida//Oegopsina//Ommastrephidae//Todarodes//Todarodes sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6636//61257
61675,Abralia sp.,species,Teuthida//Oegopsina//Enoploteuthidae//Abralia//Abralia sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//34549//61675
61677,Histioteuthis hoylei,species,Teuthida//Oegopsina//Histioteuthidae//Histioteuthis//Histioteuthis hoylei,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//34558//61677
61679,Ommastrephes bartramii,species,Teuthida//Oegopsina//Ommastrephidae//Ommastrephes//Ommastrephes bartramii,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6632//61679
61682,Sepioteuthis australis,species,Teuthida//Myopsina//Loliginidae//Sepioteuthis//Sepioteuthis australis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//34569//61682
61683,Ancistrocheiridae,family,Teuthida//Oegopsina//Ancistrocheiridae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61683
61684,Ancistrocheirus,genus,Teuthida//Oegopsina//Ancistrocheiridae//Ancistrocheirus,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61683//61684
61688,Cycloteuthidae,family,Teuthida//Oegopsina//Cycloteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61688
61689,Discoteuthis,genus,Teuthida//Oegopsina//Cycloteuthidae//Discoteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61688//61689
61690,Discoteuthis laciniosa,species,Teuthida//Oegopsina//Cycloteuthidae//Discoteuthis//Discoteuthis laciniosa,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61688//61689//61690
61691,Bathyteuthidae,family,Teuthida//Oegopsina//Bathyteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61691
61692,Bathyteuthis,genus,Teuthida//Oegopsina//Bathyteuthidae//Bathyteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61691//61692
61693,Bathyteuthis abyssicola,species,Teuthida//Oegopsina//Bathyteuthidae//Bathyteuthis//Bathyteuthis abyssicola,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61691//61692//61693
61694,Chiroteuthidae,family,Teuthida//Oegopsina//Chiroteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61694
61695,Chiroteuthis,genus,Teuthida//Oegopsina//Chiroteuthidae//Chiroteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61694//61695
61696,Chiroteuthis veranyi,species,Teuthida//Oegopsina//Chiroteuthidae//Chiroteuthis//Chiroteuthis veranyi,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61694//61695//61696
61697,Chtenopterygidae,family,Teuthida//Oegopsina//Chtenopterygidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61697
61698,Chtenopteryx,genus,Teuthida//Oegopsina//Chtenopterygidae//Chtenopteryx,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61697//61698
61699,Chtenopteryx sicula,species,Teuthida//Oegopsina//Chtenopterygidae//Chtenopteryx//Chtenopteryx sicula,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61697//61698//61699
61703,Cranchia,genus,Teuthida//Oegopsina//Cranchiidae//Cranchia,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34560//61703
61704,Cranchia scabra,species,Teuthida//Oegopsina//Cranchiidae//Cranchia//Cranchia scabra,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34560//61703//61704
61705,Cycloteuthis,genus,Teuthida//Oegopsina//Cycloteuthidae//Cycloteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61688//61705
61706,Cycloteuthis sirventi,species,Teuthida//Oegopsina//Cycloteuthidae//Cycloteuthis//Cycloteuthis sirventi,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61688//61705//61706
61710,Gonatidae,family,Teuthida//Oegopsina//Gonatidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710
61711,Gonatus,genus,Teuthida//Oegopsina//Gonatidae//Gonatus,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//61711
61712,Gonatus berryi,species,Teuthida//Oegopsina//Gonatidae//Gonatus//Gonatus berryi,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//61711//61712
61719,Joubiniteuthidae,family,Teuthida//Oegopsina//Joubiniteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61719
61720,Joubiniteuthis,genus,Teuthida//Oegopsina//Joubiniteuthidae//Joubiniteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61719//61720
61721,Joubiniteuthis portieri,species,Teuthida//Oegopsina//Joubiniteuthidae//Joubiniteuthis//Joubiniteuthis portieri,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61719//61720//61721
61722,Lepidoteuthidae,family,Teuthida//Oegopsina//Lepidoteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61722
61723,Lepidoteuthis,genus,Teuthida//Oegopsina//Lepidoteuthidae//Lepidoteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61722//61723
61724,Lepidoteuthis grimaldii,species,Teuthida//Oegopsina//Lepidoteuthidae//Lepidoteuthis//Lepidoteuthis grimaldii,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61722//61723//61724
61726,Onychoteuthis,genus,Teuthida//Oegopsina//Onychoteuthidae//Onychoteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//61726
61727,Onychoteuthis compacta,species,Teuthida//Oegopsina//Onychoteuthidae//Onychoteuthis//Onychoteuthis compacta,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//61726//61727
61729,Mastigoteuthidae,family,Teuthida//Oegopsina//Mastigoteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61729
61730,Mastigoteuthis,genus,Teuthida//Oegopsina//Mastigoteuthidae//Mastigoteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61729//61730
61732,Octopoteuthidae,family,Teuthida//Oegopsina//Octopoteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61732
61733,Octopoteuthis,genus,Teuthida//Oegopsina//Octopoteuthidae//Octopoteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61732//61733
61734,Octopoteuthis nielseni,species,Teuthida//Oegopsina//Octopoteuthidae//Octopoteuthis//Octopoteuthis nielseni,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61732//61733//61734
61735,Pholidoteuthidae,family,Teuthida//Oegopsina//Pholidoteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61735
61736,Pholidoteuthis,genus,Teuthida//Oegopsina//Pholidoteuthidae//Pholidoteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61735//61736
61737,Pholidoteuthis adami,species,Teuthida//Oegopsina//Pholidoteuthidae//Pholidoteuthis//Pholidoteuthis adami,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61735//61736//61737
61738,Pyroteuthidae,family,Teuthida//Oegopsina//Pyroteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61738
61739,Pyroteuthis,genus,Teuthida//Oegopsina//Pyroteuthidae//Pyroteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61738//61739
61740,Pyroteuthis addolux,species,Teuthida//Oegopsina//Pyroteuthidae//Pyroteuthis//Pyroteuthis addolux,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61738//61739//61740
61749,Thysanoteuthidae,family,Teuthida//Oegopsina//Thysanoteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61749
61750,Thysanoteuthis,genus,Teuthida//Oegopsina//Thysanoteuthidae//Thysanoteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61749//61750
61751,Thysanoteuthis rhombus,species,Teuthida//Oegopsina//Thysanoteuthidae//Thysanoteuthis//Thysanoteuthis rhombus,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61749//61750//61751
61755,Gonatus onyx,species,Teuthida//Oegopsina//Gonatidae//Gonatus//Gonatus onyx,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//61711//61755
61756,Brachioteuthidae,family,Teuthida//Oegopsina//Brachioteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61756
61757,Brachioteuthis,genus,Teuthida//Oegopsina//Brachioteuthidae//Brachioteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61756//61757
61758,Brachioteuthis beani,species,Teuthida//Oegopsina//Brachioteuthidae//Brachioteuthis//Brachioteuthis beani,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61756//61757//61758
70206,Loliolus noctiluca,species,Teuthida//Myopsina//Loliginidae//Loliolus//Loliolus noctiluca,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//55717//70206
72284,Onychoteuthis sp.,species,Teuthida//Oegopsina//Onychoteuthidae//Onychoteuthis//Onychoteuthis sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//61726//72284
72285,Onychoteuthis sp. B/C,species,Teuthida//Oegopsina//Onychoteuthidae//Onychoteuthis//Onychoteuthis sp. B/C,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//61726//72285
72286,Enoploteuthis galaxias,species,Teuthida//Oegopsina//Enoploteuthidae//Enoploteuthis//Enoploteuthis galaxias,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//34545//72286
72287,Enoploteuthis higginsi,species,Teuthida//Oegopsina//Enoploteuthidae//Enoploteuthis//Enoploteuthis higginsi,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//34545//72287
72288,Onykia,genus,Teuthida//Oegopsina//Onychoteuthidae//Onykia,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//72288
72289,Onykia sp.,species,Teuthida//Oegopsina//Onychoteuthidae//Onykia//Onykia sp.,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//72288//72289
72290,Moroteuthis robsoni,species,Teuthida//Oegopsina//Onychoteuthidae//Moroteuthis//Moroteuthis robsoni,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//34566//72290
72291,Filippovia knipovitchi,species,Teuthida//Oegopsina//Onychoteuthidae//Filippovia//Filippovia knipovitchi,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//1187966//72291
72292,Moroteuthis robusta,species,Teuthida//Oegopsina//Onychoteuthidae//Moroteuthis//Moroteuthis robusta,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//34566//72292
78421,Loliolus japonicus,species,Teuthida//Myopsina//Loliginidae//Loliolus//Loliolus japonicus,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//55717//78421
78422,Mastigoteuthis latipinna,species,Teuthida//Oegopsina//Mastigoteuthidae//Mastigoteuthis//Mastigoteuthis latipinna,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61729//61730//78422
78423,Sepioteuthis sepioidea,species,Teuthida//Myopsina//Loliginidae//Sepioteuthis//Sepioteuthis sepioidea,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//34569//78423
78424,Uroteuthis chinensis,species,Teuthida//Myopsina//Loliginidae//Uroteuthis//Uroteuthis chinensis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//55719//78424
78425,Uroteuthis duvaucelii,species,Teuthida//Myopsina//Loliginidae//Uroteuthis//Uroteuthis duvaucelii,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//55719//78425
78426,Uroteuthis etheridgei,species,Teuthida//Myopsina//Loliginidae//Uroteuthis//Uroteuthis etheridgei,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//55719//78426
78427,Uroteuthis noctiluca,species,Teuthida//Myopsina//Loliginidae//Uroteuthis//Uroteuthis noctiluca,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//55719//78427
78430,Grimalditeuthis,genus,Teuthida//Oegopsina//Chiroteuthidae//Grimalditeuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61694//78430
78431,Grimalditeuthis bonplandi,species,Teuthida//Oegopsina//Chiroteuthidae//Grimalditeuthis//Grimalditeuthis bonplandi,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61694//78430//78431
78432,Helicocranchia,genus,Teuthida//Oegopsina//Cranchiidae//Helicocranchia,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34560//78432
78433,Helicocranchia pfefferi,species,Teuthida//Oegopsina//Cranchiidae//Helicocranchia//Helicocranchia pfefferi,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34560//78432//78433
78434,Lolliguncula,genus,Teuthida//Myopsina//Loliginidae//Lolliguncula,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//78434
78435,Lolliguncula brevis,species,Teuthida//Myopsina//Loliginidae//Lolliguncula//Lolliguncula brevis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//78434//78435
78436,Taonius,genus,Teuthida//Oegopsina//Cranchiidae//Taonius,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34560//78436
78437,Taonius borealis,species,Teuthida//Oegopsina//Cranchiidae//Taonius//Taonius borealis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34560//78436//78437
78438,Planctoteuthis,genus,Teuthida//Oegopsina//Chiroteuthidae//Planctoteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61694//78438
