,collection_date,country,gene,organism,tax_id,rank,taxid,lineage_rank
34817,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34818,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34819,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34820,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34821,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34822,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34823,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34824,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34825,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34826,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34827,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34828,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34829,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34830,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34831,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34832,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34833,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34834,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34835,,,16S,Cranchiidae environmental sample cf. Leachia sp.,1986389,species,1986389,order//suborder//family//no rank//species
34836,,,16S,Lepidoteuthidae environmental sample cf. Lepidoteuthis grimaldii,1986391,species,1986391,order//suborder//family//no rank//species
34837,,,16S,Lepidoteuthidae environmental sample cf. Lepidoteuthis grimaldii,1986391,species,1986391,order//suborder//family//no rank//species
34838,,,16S,Bathyteuthidae environmental sample cf. Bathyteuthis abyssicola,1986396,species,1986396,order//suborder//family//no rank//species
34839,,,16S,Bathyteuthidae environmental sample cf. Bathyteuthis abyssicola,1986396,species,1986396,order//suborder//family//no rank//species
34840,,,16S,Bathyteuthidae environmental sample cf. Bathyteuthis abyssicola,1986396,species,1986396,order//suborder//family//no rank//species
34841,,,16S,Bathyteuthidae environmental sample cf. Bathyteuthis abyssicola,1986396,species,1986396,order//suborder//family//no rank//species
34842,,,16S,Octopoteuthidae environmental sample cf. Octopoteuthis megaptera,1986400,species,1986400,order//suborder//family//no rank//species
34843,,,16S,Octopoteuthidae environmental sample cf. Octopoteuthis megaptera,1986400,species,1986400,order//suborder//family//no rank//species
34844,,,16S,Ommastrephes environmental sample cf. Ommastrephes bartramii,1986401,species,1986401,order//suborder//family//genus//no rank//species
34845,,,16S,Ommastrephes environmental sample cf. Ommastrephes bartramii,1986401,species,1986401,order//suborder//family//genus//no rank//species
34846,,,16S,Ommastrephes environmental sample cf. Ommastrephes bartramii,1986401,species,1986401,order//suborder//family//genus//no rank//species
34847,,,16S,Ommastrephes environmental sample cf. Ommastrephes bartramii,1986401,species,1986401,order//suborder//family//genus//no rank//species
34848,,,16S,Ommastrephes environmental sample cf. Ommastrephes bartramii,1986401,species,1986401,order//suborder//family//genus//no rank//species
34849,,,16S,Ommastrephes environmental sample cf. Ommastrephes bartramii,1986401,species,1986401,order//suborder//family//genus//no rank//species
34850,,,16S,Onychoteuthidae environmental sample cf. Onykia sp.,1986405,species,1986405,order//suborder//family//no rank//species
34851,,,16S,Onychoteuthidae environmental sample cf. Onykia sp.,1986405,species,1986405,order//suborder//family//no rank//species
34852,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34853,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34854,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34855,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34856,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34857,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34858,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34859,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34860,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34861,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34862,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34863,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34864,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34865,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34866,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34867,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34868,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34869,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34870,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34871,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34872,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34873,,,16S,Histioteuthidae environmental sample cf. Stigmatoteuthis hoylei,1986408,species,1986408,order//suborder//family//no rank//species
34874,,,16S,Octopoteuthidae environmental sample cf. Taningia danae,1986409,species,1986409,order//suborder//family//no rank//species
34875,,,16S,Octopoteuthidae environmental sample cf. Taningia danae,1986409,species,1986409,order//suborder//family//no rank//species
34876,,,16S,Cranchiidae environmental sample cf. Taonius pavo,1986410,species,1986410,order//suborder//family//no rank//species
34877,,,16S,Cranchiidae environmental sample cf. Taonius pavo,1986410,species,1986410,order//suborder//family//no rank//species
34878,,,16S,Cranchiidae environmental sample cf. Taonius pavo,1986410,species,1986410,order//suborder//family//no rank//species
34879,,,16S,Cranchiidae environmental sample cf. Taonius pavo,1986410,species,1986410,order//suborder//family//no rank//species
34880,,,16S,Teuthida environmental sample,1986412,species,1986412,order//no rank//species
34881,,,16S,Teuthida environmental sample,1986412,species,1986412,order//no rank//species
34882,,,16S,Teuthida environmental sample,1986412,species,1986412,order//no rank//species
34883,,,16S,Teuthida environmental sample,1986412,species,1986412,order//no rank//species
34884,,,16S,Teuthida environmental sample,1986412,species,1986412,order//no rank//species
34885,,,16S,Teuthida environmental sample,1986412,species,1986412,order//no rank//species
35909,01-May-2005,USA,16S,Berryteuthis environmental sample,517130,species,517130,order//suborder//family//genus//no rank//species
35910,01-May-2005,USA,16S,Berryteuthis environmental sample,517130,species,517130,order//suborder//family//genus//no rank//species
36806,,,16S,Sepioteuthis environmental sample,665458,species,665458,order//suborder//family//genus//no rank//species
36807,,,16S,Sepioteuthis environmental sample,665458,species,665458,order//suborder//family//genus//no rank//species
36808,,,16S,Sepioteuthis environmental sample,665458,species,665458,order//suborder//family//genus//no rank//species
36809,,,16S,Sepioteuthis environmental sample,665458,species,665458,order//suborder//family//genus//no rank//species
36810,,,16S,Sepioteuthis environmental sample,665458,species,665458,order//suborder//family//genus//no rank//species
36811,,,16S,Sepioteuthis environmental sample,665458,species,665458,order//suborder//family//genus//no rank//species
37462,,,28S,Loligo sp.,55716,species,55716,order//suborder//family//genus//no rank//species
37463,,,28S,Loligo sp.,55716,species,55716,order//suborder//family//genus//no rank//species
37571,07-nov-2009,Antartica,COI,Cranchiidae sp. BOLD:ABA4569,1405370,species,1405370,order//suborder//family//no rank//species
37572,07-nov-2009,Antartica,COI,Cranchiidae sp. BOLD:ABA4569,1405370,species,1405370,order//suborder//family//no rank//species
37583,06-Aug-2009,Canada,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37584,06-Aug-2009,Canada,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37585,06-Aug-2009,Canada,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37586,06-Aug-2009,Canada,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37587,06-Aug-2009,Canada,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37588,06-Aug-2009,Canada,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37589,06-Aug-2009,Canada,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37590,06-Aug-2009,Canada,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37591,,Egypt,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37592,,Egypt,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37593,,Egypt,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37594,,Egypt,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37595,,Egypt,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37596,,Egypt,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37597,,Egypt,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37598,,Egypt,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37599,,Egypt,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37600,,Egypt,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37601,,Egypt,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37602,,Egypt,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37603,06-Aug-2009,Canada,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37604,06-Aug-2009,Canada,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37605,06-Aug-2009,Canada,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37606,06-Aug-2009,Canada,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37607,06-Aug-2009,Canada,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37608,06-Aug-2009,Canada,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37609,06-Aug-2009,Canada,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37610,06-Aug-2009,Canada,COI,Dosidicus gigas environmental sample,1091610,species,1091610,order//suborder//family//genus//no rank//species
37751,,Philippines,COI,Teuthida sp. BOLD:ACJ3715,1479259,species,1479259,order//no rank//species
37752,,Philippines,COI,Teuthida sp. BOLD:ACJ3715,1479259,species,1479259,order//no rank//species
37773,,Italy,COI,Doryteuthis environmental sample,2002786,species,2002786,order//no rank//species
37774,,Italy,COI,Doryteuthis environmental sample,2002786,species,2002786,order//no rank//species
37775,,,COI,Dosidicus environmental sample,2002787,species,2002787,order//suborder//family//genus//no rank//species
37776,,,COI,Dosidicus environmental sample,2002787,species,2002787,order//suborder//family//genus//no rank//species
37777,,,COI,Dosidicus environmental sample,2002787,species,2002787,order//suborder//family//genus//no rank//species
37778,,,COI,Dosidicus environmental sample,2002787,species,2002787,order//suborder//family//genus//no rank//species
37779,,Italy,COI,Illex environmental sample,2002799,species,2002799,order//no rank//species
37780,,Italy,COI,Illex environmental sample,2002799,species,2002799,order//no rank//species
37781,,Italy,COI,Loligo environmental sample,2002805,species,2002805,order//suborder//no rank//species
37782,,Italy,COI,Loligo environmental sample,2002805,species,2002805,order//suborder//no rank//species
37783,,Italy,COI,Loligo environmental sample,2002805,species,2002805,order//suborder//no rank//species
37784,,Italy,COI,Loligo environmental sample,2002805,species,2002805,order//suborder//no rank//species
37785,,Italy,COI,Uroteuthis environmental sample,2002830,species,2002830,order//suborder//no rank//species
37786,,Italy,COI,Uroteuthis environmental sample,2002830,species,2002830,order//suborder//no rank//species
37787,,Italy,COI,Uroteuthis environmental sample,2002830,species,2002830,order//suborder//no rank//species
37788,,Italy,COI,Uroteuthis environmental sample,2002830,species,2002830,order//suborder//no rank//species
37789,,Italy,COI,Uroteuthis environmental sample,2002830,species,2002830,order//suborder//no rank//species
37790,,Italy,COI,Uroteuthis environmental sample,2002830,species,2002830,order//suborder//no rank//species
37791,,Italy,COI,Uroteuthis environmental sample,2002830,species,2002830,order//suborder//no rank//species
37792,,Italy,COI,Uroteuthis environmental sample,2002830,species,2002830,order//suborder//no rank//species
